Comment,Designator,Footprint,LCSC Part #
"Motronic_88pin","*ref1","88pin_STS",""
"100nF","C1, C2, C3, C4, C5, C6, C18, C20","C0402","C105882"
"10uF","C7, C8, C9, C11, C13, C14, C16, C17, C19, C21","C0603","C87152"
"5.6nF","C10","C0402","C295934"
"10nF","C12","C0402","C541443"
"220nF","C15","C0402","C106258"
"cr","cr1","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr2","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr3","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr4","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr5","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr6","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr7","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr8","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr9","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr10","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr11","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr12","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr13","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr14","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr15","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr16","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr17","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr18","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr19","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr20","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr21","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr22","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr23","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr24","PinHeader_1x01_P1.00mm_Vertical",""
"LED-BLUE-0603","D1, D2, D9, D10, D13, D14, D16, D17, D18, D19, D20, D21, D22, D23","LED-0603","C72041"
"LED-WHITE-0603","D3, D7, D8","LED-0603","C84265"
"LED-GREEN-0603","D4, D5, D6, D12","LED-0603","C72043"
"LED-RED-0603","D11, D15, D24, D25, D26, D27, D28, D29, D30, D31","LED-0603","C2286"
"1N4148WS","D32, D33","D_SOD-323","C2128"
"MountingHole","H1","MountingHole_4.3mm_M4_DIN965",""
"MountingHole","H2","MountingHole_4.3mm_M4_DIN965",""
"920-462A2021Y10101","J1","USB-MINI-B-VERTICAL","C13453"
"UB-20PMFP-LC7002","J2","PinHeader_1x05_P2.00mm_Vertical","DNP"
"Micro_SD_Card","J3","693072010801",""
"Conn_01x05","J4","PinHeader_1x05_P2.54mm_Vertical",""
"Conn_01x12","J5","PinHeader_1x12_P2.54mm_Vertical",""
"Conn_01x12","J6","PinHeader_1x12_P2.54mm_Vertical",""
"Conn_01x12","J7","PinHeader_1x12_P2.54mm_Vertical",""
"Conn_01x12","J8","PinHeader_1x12_P2.54mm_Vertical",""
"Conn_01x12","J9","PinHeader_1x12_P2.54mm_Vertical",""
