Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
J3,-114.176000mm,7.273000mm,Bottom,0.0,-114.176000mm,7.273000mm
R6,-100.176000mm,83.773000mm,Bottom,-90.0,-100.176000mm,83.773000mm
R27,-26.686000mm,73.523000mm,Bottom,0.0,-26.686000mm,73.523000mm
*ref1,27.142400mm,111.606400mm,Top,0.0,27.142400mm,111.606400mm
C1,42.926000mm,25.273000mm,Top,-90.0,42.926000mm,25.273000mm
C2,42.926000mm,27.273000mm,Top,90.0,42.926000mm,27.273000mm
C3,100.077250mm,8.716750mm,Top,0.0,100.077250mm,8.716750mm
C4,92.676000mm,15.253000mm,Top,90.0,92.676000mm,15.253000mm
C5,85.426000mm,15.013000mm,Top,180.0,85.426000mm,15.013000mm
C6,25.926000mm,50.023000mm,Top,180.0,25.926000mm,50.023000mm
C7,21.676000mm,50.023000mm,Top,90.0,21.676000mm,50.023000mm
C8,28.426000mm,49.773000mm,Top,90.0,28.426000mm,49.773000mm
C9,57.481000mm,19.303000mm,Top,-90.0,57.481000mm,19.303000mm
C10,54.731000mm,19.803000mm,Top,-90.0,54.731000mm,19.803000mm
C11,59.481000mm,19.328000mm,Top,-90.0,59.481000mm,19.328000mm
C12,48.196000mm,38.773000mm,Top,0.0,48.196000mm,38.773000mm
C13,61.481000mm,19.303000mm,Top,-90.0,61.481000mm,19.303000mm
C14,63.481000mm,19.303000mm,Top,-90.0,63.481000mm,19.303000mm
C15,52.926000mm,41.523000mm,Top,180.0,52.926000mm,41.523000mm
C16,61.926000mm,40.523000mm,Top,90.0,61.926000mm,40.523000mm
C17,60.176000mm,40.523000mm,Top,90.0,60.176000mm,40.523000mm
C18,56.231000mm,19.823000mm,Top,-90.0,56.231000mm,19.823000mm
C19,58.426000mm,40.523000mm,Top,90.0,58.426000mm,40.523000mm
C20,63.426000mm,40.023000mm,Top,90.0,63.426000mm,40.023000mm
C21,56.676000mm,40.523000mm,Top,90.0,56.676000mm,40.523000mm
D1,89.519750mm,8.716750mm,Top,180.0,89.519750mm,8.716750mm
D2,97.594750mm,8.716750mm,Top,180.0,97.594750mm,8.716750mm
D3,79.426000mm,67.523000mm,Top,0.0,79.426000mm,67.523000mm
D4,40.213500mm,37.773000mm,Top,180.0,40.213500mm,37.773000mm
D5,40.213500mm,41.273000mm,Top,180.0,40.213500mm,41.273000mm
D6,40.213500mm,39.523000mm,Top,180.0,40.213500mm,39.523000mm
D7,79.426000mm,65.773000mm,Top,0.0,79.426000mm,65.773000mm
D8,79.426000mm,69.273000mm,Top,0.0,79.426000mm,69.273000mm
D9,50.613036mm,17.873464mm,Top,0.0,50.613036mm,17.873464mm
D10,41.075536mm,16.123464mm,Top,180.0,41.075536mm,16.123464mm
D11,66.926000mm,75.773000mm,Top,180.0,66.926000mm,75.773000mm
D12,66.926000mm,72.273000mm,Top,180.0,66.926000mm,72.273000mm
D13,50.613036mm,16.123464mm,Top,0.0,50.613036mm,16.123464mm
D14,41.113036mm,17.873464mm,Top,180.0,41.113036mm,17.873464mm
D15,66.926000mm,74.023000mm,Top,180.0,66.926000mm,74.023000mm
D16,123.176000mm,54.173000mm,Top,0.0,123.176000mm,54.173000mm
D17,123.176000mm,57.673000mm,Top,0.0,123.176000mm,57.673000mm
D18,123.213500mm,61.273000mm,Top,0.0,123.213500mm,61.273000mm
D19,123.213500mm,64.773000mm,Top,0.0,123.213500mm,64.773000mm
D20,123.138500mm,55.923000mm,Top,0.0,123.138500mm,55.923000mm
D21,123.176000mm,59.423000mm,Top,0.0,123.176000mm,59.423000mm
D22,123.213500mm,63.023000mm,Top,0.0,123.213500mm,63.023000mm
D23,123.213500mm,66.523000mm,Top,0.0,123.213500mm,66.523000mm
D24,66.926000mm,70.023000mm,Top,180.0,66.926000mm,70.023000mm
D25,66.926000mm,66.523000mm,Top,180.0,66.926000mm,66.523000mm
D26,66.926000mm,62.523000mm,Top,180.0,66.926000mm,62.523000mm
D27,66.926000mm,59.023000mm,Top,180.0,66.926000mm,59.023000mm
D28,66.926000mm,68.273000mm,Top,180.0,66.926000mm,68.273000mm
D29,66.926000mm,64.773000mm,Top,180.0,66.926000mm,64.773000mm
D30,66.926000mm,60.773000mm,Top,180.0,66.926000mm,60.773000mm
D31,66.926000mm,57.273000mm,Top,180.0,66.926000mm,57.273000mm
D32,54.926000mm,40.273000mm,Top,90.0,54.926000mm,40.273000mm
D33,50.926000mm,40.273000mm,Top,-90.0,50.926000mm,40.273000mm
