Comment,Designator,Footprint,LCSC Part #
"BATTERY_CR2032","BT1","BATTERY-2032","C70377"
"100nF","C1, C2, C3, C4, C6, C18, C20","C0402","C307331"
"100n","C5, C411, C413, C430, C431, C430_2, C431_2, C420, C702, C204, C205, C206, C207, C212, C213, C214, C215, C220, C221, C222, C223, C224, C225, C226, C470, C460, C461, C101, C105, C106, C107, C108, C109, C110, C112, C113, C118, C119, C120, C121, C122, C123, C124, C126, C127, C128, C129, C130, C135, C139, C470_2","C0603","C14663"
"10u","C7, C8, C9, C11, C13, C14, C16, C17, C19, C21, C300","C0603","C96446"
"5.6nF","C10","C0402","C115688"
"10nF","C12","C0402","C15195"
"220nF","C15","C0402","C16772"
"1u","C22, C23, C133","C0603","C15849"
"cr","cr1","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr2","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr3","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr4","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr6","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr7","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr8","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr9","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr10","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr11","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr12","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr13","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr14","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr15","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr16","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr17","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr18","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr19","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr20","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr21","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr22","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr23","PinHeader_1x01_P1.00mm_Vertical",""
"1N4148WS","D1, D2, D9, D13, D14, D32, D33, D34, D35, D36, D37, D38, D39, D40, D42, D43, D410, D412, D413, D414","SOD-323","C2128"
"B5819W","D3, D8, D10, D44, D416, D417, D300, D301, D302, D303, D101, D107","SOD-123","C8598"
"LED-GREEN-0603","D4, D5, D6, D12, D601, D104","LED-0603","C72043"
"LED-WHITE-0603","D7","LED-0603","C84265"
"LED-RED-0603","D11, D15, D24, D25, D26, D27, D28, D29, D30, D31, D600, D603, D700, D701, D103","LED-0603","C2286"
"LED-BLUE-0603","D16, D17, D18, D19, D20, D21, D22, D23, D602, D105","LED-0603","C72041"
"10A","F1, F2, F3, F4, F5, F6, F7, F8","36911600000","C354908"
"LOGO","G1","LOGO",""
"LOGO","G2","LOGO",""
"PROTO_AREA","G3","PROTO_AREA",""
"PROTO_AREA","G4","PROTO_AREA",""
"PROTO_AREA","G6","PROTO_AREA",""
"PROTO_AREA","G7","PROTO_AREA",""
"MountingHole","H1","MountingHole_4.3mm_M4_DIN965",""
"MountingHole","H2","MountingHole_4.3mm_M4_DIN965",""
"USB_B_Mini","J1","USB-MINI-B-VERTICAL","C13453"
"Conn_01x05","J2","PinHeader_1x05_P2.00mm_Vertical",""
"Conn_01x05","J4","PinHeader_1x05_P2.54mm_Vertical",""
"VRIN1","J14","PinHeader_1x01_P1.00mm_Vertical",""
"VRIN2","J15","PinHeader_1x01_P1.00mm_Vertical",""
"VROUT1","J16","PinHeader_1x01_P1.00mm_Vertical",""
"XH-8A","J17","XH-8A","C10385"
"AudioJack_THR","J18","Jack_3.5mm_PJ-3250-5A","C165947"
"MiniFit","J19","Molex_Mini-Fit_Jr_5569-02A2_2x01_P4.20mm_Horizontal",""
"ETB","J20","PinHeader_1x06_P2.54mm_Vertical",""
"PPS","J21","PinHeader_1x04_P2.54mm_Vertical",""
"Jumper_2_Open","JP1, JP2, JP3, JP4, JP5, JP7, JP8, JP14, JP16, JP17, JP26, JP27, JP29, JP31, JP32, JP33, JP35, JP36, JP42, JP43, JP46, JP47, JP48, JP59, JP73, JP77, JP78, JP85, JP86","PAD-0805-PAD","C17477"
"Jumper_2_Open","JP6","PAD-0805-PAD",""
"Jumper_2_Open","JP20","PAD-0805-PAD",""
"Jumper_2_Open","JP21","PAD-0805-PAD",""
"Jumper_2_Open","JP41","PAD-0805-PAD",""
"IN_KNOCK1_RAW","KNOCK_RAW1","PinHeader_1x01_P1.00mm_Vertical",""
"IN_KNOCK2_RAW","KNOCK_RAW2","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU1","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU2","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU3","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU4","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU5","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU6","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU7","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU8","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU9","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU10","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU11","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU12","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU13","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU14","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU15","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU16","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU18","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU22","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU23","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU24","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU25","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU26","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU27","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU28","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU29","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU30","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU31","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU32","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU35","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU38","PinHeader_1x01_P1.00mm_Vertical",""
"MMCU","MMCU40","PinHeader_1x01_P1.00mm_Vertical",""
"P","P1","Pin_D1.0mm_L10.0mm",""
"P","P2","Pin_D1.0mm_L10.0mm",""
"P","P3","Pin_D1.0mm_L10.0mm",""
"P","P4","Pin_D1.0mm_L10.0mm",""
"P","P5","Pin_D1.0mm_L10.0mm",""
"P","P6","Pin_D1.0mm_L10.0mm",""
"Motronic_88pin","PP1","88pin_STS",""
"10k","R1, R2, R29","R0402","C60489"
"750R","R3","R0402","C25132"
"680k","R4, R16, R25","R0603","C25822"
"DNP","R5","R0402",""
"DNP","R6","R0402",""
"DNP","R7, R8, R9, R10, R11, R12, R13, R14","R2512","NA"
"20k","R15, R610, R611, R612","R0402","C25765"
"22","R17, R18, R19, R20, R21, R22, R23, R24","R0603","C23345"
"DNP","R26","R0603",""
"2.7k","R27, R34","R0603","C13167"
"100k","R28","R0402","C106234"
"100","R30","R0402","C106233"
"1k6","R31","R0402","C25931"
"5k1","R32, R33, R43","R0402","C25941"
"DNP","R35","R0603",""
"4.7k","R42","R0402","C25940"
"1k","RN5, RN6","R_Array_Concave_4x0603","C240722"
"4.7k","RN7, RN8, R200, R201, R202, R203, R204, R205, R207","R0603-4","C1980"
"Button_SPST","SW1, SW2","SMD-2_2.9x3.9x1.7","C115357"
"TestPoint","TP1","TestPoint_Pad_D1.0mm",""
"TestPoint","TP2","TestPoint_Pad_D1.0mm",""
"TestPoint","TP3","TestPoint_Pad_D1.0mm",""
"TestPoint","TP4","TestPoint_Pad_D1.0mm",""
"MPXA6115A","U1","SSO-8_6.8x5.9mm_P1.27mm_Clearance7mm",""
"MPX4_MAP","U2","MPX-4_MAP",""
"MCP6002-xSN","U5","SO8","C7377"
"TLS115_SON","U8","HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm",""
"VIN8","VIN1","PinHeader_1x01_P1.00mm_Vertical",""
