Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
BT1,15.226mm,34.123000mm,Bottom,315.0,15.226mm,34.123000mm
M13,128.013499mm,1.232813mm,Bottom,180.0,128.013499mm,1.232813mm
C1,42.926000mm,25.273000mm,Top,-90.0,42.926000mm,25.273000mm
C2,42.926000mm,27.273000mm,Top,90.0,42.926000mm,27.273000mm
C3,98.426000mm,14.273000mm,Top,0.0,98.426000mm,14.273000mm
C4,105.163500mm,10.935500mm,Top,90.0,105.163500mm,10.935500mm
C5,99.176000mm,8.923000mm,Top,0.0,99.176000mm,8.923000mm
C6,25.926000mm,50.023000mm,Top,180.0,25.926000mm,50.023000mm
C7,20.926000mm,50.123000mm,Top,180.0,20.926000mm,50.123000mm
C8,28.926000mm,49.523000mm,Top,90.0,28.926000mm,49.523000mm
C9,57.481000mm,19.303000mm,Top,-90.0,57.481000mm,19.303000mm
C10,69.676000mm,27.673000mm,Top,-90.0,69.676000mm,27.673000mm
C11,59.481000mm,19.328000mm,Top,-90.0,59.481000mm,19.328000mm
C12,48.196000mm,37.523000mm,Top,0.0,48.196000mm,37.523000mm
C13,61.481000mm,19.303000mm,Top,-90.0,61.481000mm,19.303000mm
C14,63.481000mm,19.303000mm,Top,-90.0,63.481000mm,19.303000mm
C15,52.926000mm,41.523000mm,Top,180.0,52.926000mm,41.523000mm
C16,61.926000mm,40.523000mm,Top,90.0,61.926000mm,40.523000mm
C17,60.176000mm,40.523000mm,Top,90.0,60.176000mm,40.523000mm
C18,56.231000mm,19.823000mm,Top,-90.0,56.231000mm,19.823000mm
C19,58.426000mm,40.523000mm,Top,90.0,58.426000mm,40.523000mm
C20,63.426000mm,40.023000mm,Top,90.0,63.426000mm,40.023000mm
C21,56.676000mm,40.523000mm,Top,90.0,56.676000mm,40.523000mm
C22,107.709799mm,94.000200mm,Top,0.0,107.709799mm,94.000200mm
C23,104.532301mm,90.325214mm,Top,90.0,104.532301mm,90.325214mm
D1,17.926000mm,88.023000mm,Top,0.0,17.926000mm,88.023000mm
D2,43.926000mm,37.773000mm,Top,180.0,43.926000mm,37.773000mm
D3,62.676000mm,91.273000mm,Top,180.0,62.676000mm,91.273000mm
D4,40.213500mm,37.773000mm,Top,180.0,40.213500mm,37.773000mm
D5,40.213500mm,41.273000mm,Top,180.0,40.213500mm,41.273000mm
D6,40.213500mm,39.523000mm,Top,180.0,40.213500mm,39.523000mm
D7,74.376000mm,78.123000mm,Top,180.0,74.376000mm,78.123000mm
D8,62.676000mm,93.773000mm,Top,180.0,62.676000mm,93.773000mm
D9,38.438503mm,17.624498mm,Top,90.0,38.438503mm,17.624498mm
D10,21.676000mm,76.773000mm,Top,0.0,21.676000mm,76.773000mm
D11,68.413500mm,57.723000mm,Top,0.0,68.413500mm,57.723000mm
D12,18.926000mm,90.023000mm,Top,180.0,18.926000mm,90.023000mm
D13,65.826000mm,74.323000mm,Top,180.0,65.826000mm,74.323000mm
D14,65.826000mm,70.823000mm,Top,180.0,65.826000mm,70.823000mm
D15,18.926000mm,94.273000mm,Top,180.0,18.926000mm,94.273000mm
D16,124.176000mm,53.773000mm,Top,0.0,124.176000mm,53.773000mm
D17,124.176000mm,57.273000mm,Top,0.0,124.176000mm,57.273000mm
D18,124.213500mm,60.873000mm,Top,0.0,124.213500mm,60.873000mm
D19,124.213500mm,64.373000mm,Top,0.0,124.213500mm,64.373000mm
D20,124.138500mm,55.523000mm,Top,0.0,124.138500mm,55.523000mm
D21,124.176000mm,59.023000mm,Top,0.0,124.176000mm,59.023000mm
D22,124.213500mm,62.623000mm,Top,0.0,124.213500mm,62.623000mm
D23,124.213500mm,66.123000mm,Top,0.0,124.213500mm,66.123000mm
D24,65.826000mm,72.573000mm,Top,0.0,65.826000mm,72.573000mm
D25,65.826000mm,65.573000mm,Top,0.0,65.826000mm,65.573000mm
D26,79.276000mm,62.073000mm,Top,180.0,79.276000mm,62.073000mm
D27,79.276000mm,69.073000mm,Top,180.0,79.276000mm,69.073000mm
D28,65.826000mm,69.073000mm,Top,0.0,65.826000mm,69.073000mm
D29,65.826000mm,62.073000mm,Top,0.0,65.826000mm,62.073000mm
D30,79.276000mm,65.573000mm,Top,180.0,79.276000mm,65.573000mm
D31,79.276000mm,72.573000mm,Top,180.0,79.276000mm,72.573000mm
D32,54.926000mm,40.273000mm,Top,90.0,54.926000mm,40.273000mm
D33,50.926000mm,40.273000mm,Top,-90.0,50.926000mm,40.273000mm
D34,65.826000mm,67.323000mm,Top,180.0,65.826000mm,67.323000mm
D35,65.826000mm,63.823000mm,Top,180.0,65.826000mm,63.823000mm
D36,79.276000mm,63.823000mm,Top,0.0,79.276000mm,63.823000mm
D37,79.276000mm,67.323000mm,Top,0.0,79.276000mm,67.323000mm
D38,79.276000mm,70.823000mm,Top,0.0,79.276000mm,70.823000mm
D39,79.276000mm,74.323000mm,Top,0.0,79.276000mm,74.323000mm
D40,17.926000mm,92.523000mm,Top,0.0,17.926000mm,92.523000mm
D42,78.876000mm,76.623000mm,Top,0.0,78.876000mm,76.623000mm
D43,68.276000mm,55.823000mm,Top,180.0,68.276000mm,55.823000mm
D44,15.176000mm,80.273000mm,Top,90.0,15.176000mm,80.273000mm
F1,154.626000mm,22.123000mm,Top,180.0,154.626000mm,22.123000mm
F2,154.626000mm,41.523000mm,Top,180.0,154.626000mm,41.523000mm
F3,154.526000mm,72.823000mm,Top,180.0,154.526000mm,72.823000mm
F4,154.526000mm,91.523000mm,Top,180.0,154.526000mm,91.523000mm
F5,154.626000mm,13.223000mm,Top,180.0,154.626000mm,13.223000mm
F6,154.626000mm,31.723000mm,Top,180.0,154.626000mm,31.723000mm
F7,154.526000mm,63.323000mm,Top,180.0,154.526000mm,63.323000mm
