Ref,Val,Package,PosX,PosY,Rot,Side
"J3","Micro_SD_Card","693072010801",-114.176000,7.273000,0.000000,bottom
"C1","100nF","C_0402_1005Metric",42.926000,25.273000,-90.000000,top
"C2","100nF","C_0402_1005Metric",42.926000,27.273000,90.000000,top
"C3","100nF","C_0402_1005Metric",100.077250,8.716750,0.000000,top
"C4","100nF","C_0402_1005Metric",92.676000,15.253000,90.000000,top
"C5","100nF","C_0402_1005Metric",85.426000,15.013000,180.000000,top
"C6","100nF","C_0402_1005Metric",25.926000,50.023000,180.000000,top
"C7","10uF","C_0603_1608Metric",21.676000,50.023000,90.000000,top
"C8","10uF","C_0603_1608Metric",28.426000,49.773000,90.000000,top
"C9","10uF","C_0603_1608Metric",57.481000,19.303000,-90.000000,top
"C10","5.6nF","C_0402_1005Metric",54.731000,19.803000,-90.000000,top
"C11","10uF","C_0603_1608Metric",59.481000,19.328000,-90.000000,top
"C12","10nF","C_0402_1005Metric",48.196000,38.773000,0.000000,top
"C13","10uF","C_0603_1608Metric",61.481000,19.303000,-90.000000,top
"C14","10uF","C_0603_1608Metric",63.481000,19.303000,-90.000000,top
"C15","220nF","C_0402_1005Metric",52.926000,41.523000,180.000000,top
"C16","10uF","C_0603_1608Metric",61.926000,40.523000,90.000000,top
"C17","10uF","C_0603_1608Metric",60.176000,40.523000,90.000000,top
"C18","100nF","C_0402_1005Metric",56.231000,19.823000,-90.000000,top
"C19","10uF","C_0603_1608Metric",58.426000,40.523000,90.000000,top
"C20","100nF","C_0402_1005Metric",63.426000,40.023000,90.000000,top
"C21","10uF","C_0603_1608Metric",56.676000,40.523000,90.000000,top
"D1","LED-BLUE-0603","LED_0603_1608Metric",89.519750,8.716750,180.000000,top
"D2","LED-BLUE-0603","LED_0603_1608Metric",97.594750,8.716750,180.000000,top
"D3","LED-WHITE-0603","LED_0603_1608Metric",79.426000,67.523000,0.000000,top
"D4","LED-GREEN-0603","LED_0603_1608Metric",40.213500,37.773000,180.000000,top
"D5","LED-GREEN-0603","LED_0603_1608Metric",40.213500,41.273000,180.000000,top
"D6","LED-GREEN-0603","LED_0603_1608Metric",40.213500,39.523000,180.000000,top
"D7","LED-WHITE-0603","LED_0603_1608Metric",79.426000,65.773000,0.000000,top
"D8","LED-WHITE-0603","LED_0603_1608Metric",79.426000,69.273000,0.000000,top
"D9","LED-BLUE-0603","LED_0603_1608Metric",50.613036,17.873464,0.000000,top
"D10","LED-BLUE-0603","LED_0603_1608Metric",41.075536,16.123464,180.000000,top
"D11","LED-RED-0603","LED_0603_1608Metric",66.926000,75.773000,180.000000,top
"D12","LED-GREEN-0603","LED_0603_1608Metric",66.926000,72.273000,180.000000,top
"D13","LED-BLUE-0603","LED_0603_1608Metric",50.613036,16.123464,0.000000,top
"D14","LED-BLUE-0603","LED_0603_1608Metric",41.113036,17.873464,180.000000,top
"D15","LED-RED-0603","LED_0603_1608Metric",66.926000,74.023000,180.000000,top
"D16","LED-BLUE-0603","LED_0603_1608Metric",123.176000,54.173000,0.000000,top
"D17","LED-BLUE-0603","LED_0603_1608Metric",123.176000,57.673000,0.000000,top
"D18","LED-BLUE-0603","LED_0603_1608Metric",123.213500,61.273000,0.000000,top
"D19","LED-BLUE-0603","LED_0603_1608Metric",123.213500,64.773000,0.000000,top
