"Comment","Designator","Footprint","LCSC Part #"
"100nF","C1","Capacitor_SMD:C_0402_1005Metric","C105882"
"100nF","C2","Capacitor_SMD:C_0402_1005Metric","C105882"
"100nF","C3","Capacitor_SMD:C_0402_1005Metric","C105882"
"100nF","C4","Capacitor_SMD:C_0402_1005Metric","C105882"
"100nF","C5","Capacitor_SMD:C_0402_1005Metric","C105882"
"100nF","C6","Capacitor_SMD:C_0402_1005Metric","C105882"
"10uF","C7","Capacitor_SMD:C_0603_1608Metric","C87152"
"10uF","C8","Capacitor_SMD:C_0603_1608Metric","C87152"
"10uF","C9","Capacitor_SMD:C_0603_1608Metric","C87152"
"5.6nF","C10","Capacitor_SMD:C_0402_1005Metric","C295934"
"10uF","C11","Capacitor_SMD:C_0603_1608Metric","C87152"
"10nF","C12","Capacitor_SMD:C_0402_1005Metric","C541443"
"10uF","C13","Capacitor_SMD:C_0603_1608Metric","C87152"
"10uF","C14","Capacitor_SMD:C_0603_1608Metric","C87152"
"220nF","C15","Capacitor_SMD:C_0402_1005Metric","C106258"
"10uF","C16","Capacitor_SMD:C_0603_1608Metric","C87152"
"10uF","C17","Capacitor_SMD:C_0603_1608Metric","C87152"
"100nF","C18","Capacitor_SMD:C_0402_1005Metric","C105882"
"10uF","C19","Capacitor_SMD:C_0603_1608Metric","C87152"
"100nF","C20","Capacitor_SMD:C_0402_1005Metric","C105882"
"10uF","C21","Capacitor_SMD:C_0603_1608Metric","C87152"
"cr","cr1","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr2","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr3","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr4","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr5","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr6","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical",""
